stockcode,first_date,last_date,n_days
GEE,2022-05-27,2026-04-08,425
DSE,2024-07-02,2026-04-08,428
ACB,2022-04-12,2026-04-08,615
NAB,2022-04-13,2026-04-08,664
REE,2022-04-07,2026-04-08,681
VIB,2022-04-07,2026-04-08,709
TCB,2022-04-12,2026-04-08,806
SIP,2022-04-21,2026-04-08,818
IMP,2022-04-08,2026-04-08,819
KOS,2022-04-07,2026-04-08,853
SJS,2022-04-07,2026-04-08,864
MSB,2022-04-19,2026-04-08,897
PNJ,2022-04-07,2026-04-08,934
CTD,2022-04-07,2026-04-08,943
EVF,2022-04-07,2026-04-08,944
VPB,2022-04-07,2026-04-08,946
VPI,2022-04-07,2026-04-08,949
SSB,2022-04-07,2026-04-08,958
MBB,2022-04-07,2026-04-08,962
FPT,2022-04-07,2026-04-08,964
HT1,2022-04-07,2026-04-08,967
HDC,2022-04-07,2026-04-08,973
VSC,2022-04-07,2026-04-08,974
TPB,2022-04-07,2026-04-08,976
MWG,2022-04-07,2026-04-08,976
VTP,2022-04-07,2026-04-08,977
ANV,2022-04-07,2026-04-08,978
CTS,2022-04-07,2026-04-08,981
PPC,2022-04-07,2026-04-08,983
HHV,2022-04-07,2026-04-08,986
SZC,2022-04-07,2026-04-08,986
DBC,2022-04-07,2026-04-08,987
FTS,2022-04-07,2026-04-08,991
DXS,2022-04-07,2026-04-08,991
PTB,2022-04-07,2026-04-08,992
LPB,2022-04-07,2026-04-08,992
EIB,2022-04-07,2026-04-08,992
BSI,2022-04-07,2026-04-08,993
OCB,2022-04-07,2026-04-08,993
PC1,2022-04-07,2026-04-08,993
SBT,2022-04-07,2026-04-08,993
TCH,2022-04-07,2026-04-08,993
NT2,2022-04-07,2026-04-08,994
KDC,2022-04-07,2026-04-08,994
PLX,2022-04-07,2026-04-08,994
TLG,2022-04-07,2026-04-08,994
CMG,2022-04-07,2026-04-08,994
BMP,2022-04-07,2026-04-08,994
SCS,2022-04-07,2026-04-08,994
VHM,2022-04-07,2026-04-08,994
GEX,2022-04-07,2026-04-08,994
POW,2022-04-07,2026-04-08,994
PHR,2022-04-07,2026-04-08,994
SHB,2022-04-07,2026-04-08,994
PVT,2022-04-07,2026-04-08,995
MSN,2022-04-07,2026-04-08,995
SAB,2022-04-07,2026-04-08,995
BID,2022-04-07,2026-04-08,995
BVH,2022-04-07,2026-04-08,995
PAN,2022-04-07,2026-04-08,995
FRT,2022-04-07,2026-04-08,995
GVR,2022-04-07,2026-04-08,995
BCM,2022-04-07,2026-04-08,995
DPM,2022-04-07,2026-04-08,995
HAG,2022-04-07,2026-04-08,995
BWE,2022-04-07,2026-04-08,995
VND,2022-04-07,2026-04-08,996
VHC,2022-04-07,2026-04-08,996
CTR,2022-04-07,2026-04-08,996
DIG,2022-04-07,2026-04-08,996
VRE,2022-04-07,2026-04-08,996
PVD,2022-04-07,2026-04-08,996
VJC,2022-04-07,2026-04-08,996
VCG,2022-04-07,2026-04-08,996
VCI,2022-04-07,2026-04-08,996
DGC,2022-04-07,2026-04-08,996
NKG,2022-04-07,2026-04-08,996
PDR,2022-04-07,2026-04-08,996
KBC,2022-04-07,2026-04-08,996
HSG,2022-04-07,2026-04-08,996
HDG,2022-04-07,2026-04-08,996
GAS,2022-04-07,2026-04-08,996
CTG,2022-04-07,2026-04-08,997
VNM,2022-04-07,2026-04-08,997
DCM,2022-04-07,2026-04-08,997
KDH,2022-04-07,2026-04-08,997
GMD,2022-04-07,2026-04-08,997
HPG,2022-04-07,2026-04-08,997
VGC,2022-04-07,2026-04-08,997
CII,2022-04-07,2026-04-08,997
HDB,2022-04-07,2026-04-08,997
HCM,2022-04-07,2026-04-08,997
SSI,2022-04-07,2026-04-08,997
STB,2022-04-07,2026-04-08,997
VIC,2022-04-07,2026-04-08,997
NLG,2022-04-07,2026-04-08,997
VIX,2022-04-07,2026-04-08,997
DXG,2022-04-07,2026-04-08,997
DGW,2022-04-07,2026-04-08,997
VCB,2022-04-07,2026-04-08,998
